/*--------------------------------*- C++ -*----------------------------------*\
  =========                 |
  \\      /  F ield         | OpenFOAM: The Open Source CFD Toolbox
   \\    /   O peration     | Website:  https://openfoam.org
    \\  /    A nd           | Version:  7
     \\/     M anipulation  |
\*---------------------------------------------------------------------------*/
FoamFile
{
    version     2.0;
    format      ascii;
    class       IOobject;
    location    "0";
    object      airInletUProfile.csv;
}
// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //
24.499998e-3,0,0,0
25.000002e-3,0,1.5808,0
25.500006e-3,0,35.9992,0
25.999992e-3,0,37.3008,0
26.499996e-3,0,38.5476,0
27.000000e-3,0,39.4796,0
27.500004e-3,0,39.666,0
28.000008e-3,0,39.9976,0
28.499994e-3,0,40.0012,0
28.999998e-3,0,40.0008,0
29.500002e-3,0,40.0004,0
30.000000e-3,0,40,0
40.000000e-3,0,40,0
50.000000e-3,0,40,0
60.000000e-3,0,40,0
70.000000e-3,0,40,0
80.000000e-3,0,40,0
90.000000e-3,0,40,0
